year,moth,day,phenomenon,weather_condition,min_temp,med_temp,max_temp,city
2020,6,16,Pioggia  ,poco nuvoloso ,18 °C ,21 °C ,26 °C ,Mantova
2020,6,17,Pioggia - Temporale  ,poco nuvoloso ,17 °C ,21 °C ,24 °C ,Mantova
2020,6,18,Nessuno ,poco nuvoloso ,15 °C ,21 °C ,26 °C ,Mantova
2020,6,19,Pioggia - Temporale  ,poco nuvoloso ,15 °C ,20 °C ,25 °C ,Mantova
2020,6,20,Nessuno ,sereno ,12 °C ,21 °C ,27 °C ,Mantova
2020,6,21,Nessuno ,poco nuvoloso ,17 °C ,23 °C ,29 °C ,Mantova
2020,6,22,Nessuno ,sole e caldo ,16 °C ,25 °C ,31 °C ,Mantova
2020,6,23,Nessuno ,poco nuvoloso ,18 °C ,26 °C ,32 °C ,Mantova
2020,6,24,Nessuno ,sereno ,19 °C ,25 °C ,29 °C ,Mantova
2020,6,25,Pioggia  ,poco nuvoloso ,20 °C ,23 °C ,28 °C ,Mantova
2020,6,26,Pioggia  ,pioggia e schiarite ,18 °C ,24 °C ,29 °C ,Mantova
2020,6,27,Nessuno ,poco nuvoloso ,23 °C ,28 °C ,31 °C ,Mantova
2020,6,28,Nessuno ,sole e caldo ,19 °C ,26 °C ,32 °C ,Mantova
2020,6,29,Nessuno ,poco nuvoloso ,20 °C ,26 °C ,32 °C ,Mantova
2020,6,30,Nessuno ,poco nuvoloso ,21 °C ,27 °C ,32 °C ,Mantova
2020,7,1,Pioggia - Temporale  ,temporale e schiarite ,22 °C ,26 °C ,31 °C ,Mantova
2020,7,2,Pioggia - Temporale  ,pioggia e schiarite ,20 °C ,25 °C ,31 °C ,Mantova
2020,7,3,Pioggia  ,poco nuvoloso ,18 °C ,23 °C ,28 °C ,Mantova
2020,7,4,Pioggia  ,poco nuvoloso ,18 °C ,24 °C ,29 °C ,Mantova
2020,7,5,Nessuno ,poco nuvoloso ,18 °C ,25 °C ,30 °C ,Mantova
2020,7,6,Nessuno ,poco nuvoloso ,19 °C ,27 °C ,32 °C ,Mantova
2020,7,7,Nessuno ,poco nuvoloso ,18 °C ,23 °C ,27 °C ,Mantova
2020,7,8,Nessuno ,poco nuvoloso ,15 °C ,22 °C ,29 °C ,Mantova
2020,7,9,Nessuno ,sole e caldo ,17 °C ,24 °C ,30 °C ,Mantova
2020,7,10,Nessuno ,sole e caldo ,19 °C ,26 °C ,33 °C ,Mantova
2020,7,11,Pioggia - Temporale  ,poco nuvoloso ,19 °C ,25 °C ,31 °C ,Mantova
2020,7,12,Nessuno ,poco nuvoloso ,16 °C ,22 °C ,27 °C ,Mantova
2020,7,13,Nessuno ,poco nuvoloso ,19 °C ,23 °C ,26 °C ,Mantova
2020,7,14,Nessuno ,poco nuvoloso ,16 °C ,21 °C ,26 °C ,Mantova
2020,7,15,Nessuno ,poco nuvoloso ,18 °C ,23 °C ,28 °C ,Mantova
2020,7,16,Pioggia  ,poco nuvoloso ,17 °C ,23 °C ,29 °C ,Mantova
2020,7,17,Pioggia - Temporale  ,poco nuvoloso ,20 °C ,23 °C ,27 °C ,Mantova
2020,7,18,Pioggia  ,pioggia e schiarite ,18 °C ,22 °C ,27 °C ,Mantova
2020,7,19,Nessuno ,sereno ,15 °C ,23 °C ,29 °C ,Mantova
2020,7,20,Nessuno ,poco nuvoloso ,19 °C ,26 °C ,31 °C ,Mantova
2020,7,21,Nessuno ,poco nuvoloso ,19 °C ,26 °C ,32 °C ,Mantova
2020,7,22,Pioggia - Temporale  ,poco nuvoloso ,20 °C ,26 °C ,33 °C ,Mantova
2020,7,23,Pioggia  ,poco nuvoloso ,19 °C ,25 °C ,30 °C ,Mantova
2020,7,24,Pioggia - Temporale  ,temporale e schiarite ,18 °C ,22 °C ,25 °C ,Mantova
2020,7,25,Nessuno ,poco nuvoloso ,17 °C ,23 °C ,29 °C ,Mantova
2020,7,26,Nessuno ,poco nuvoloso ,18 °C ,24 °C ,31 °C ,Mantova
2020,7,27,Nessuno ,poco nuvoloso ,18 °C ,26 °C ,31 °C ,Mantova
2020,7,28,Pioggia - Temporale  ,sole e caldo ,21 °C ,27 °C ,33 °C ,Mantova
2020,7,29,Pioggia  ,poco nuvoloso ,21 °C ,27 °C ,33 °C ,Mantova
2020,7,30,Nessuno ,poco nuvoloso ,23 °C ,29 °C ,33 °C ,Mantova
2020,7,31,Nessuno ,sole e caldo ,24 °C ,29 °C ,34 °C ,Mantova
2020,8,1,Nessuno ,sole e caldo ,23 °C ,29 °C ,35 °C ,Mantova
2020,8,2,Nessuno ,poco nuvoloso ,21 °C ,28 °C ,31 °C ,Mantova
2020,8,3,Pioggia - Temporale  ,temporale e schiarite ,18 °C ,22 °C ,25 °C ,Mantova
2020,8,4,Pioggia  ,pioggia e schiarite ,18 °C ,22 °C ,26 °C ,Mantova
2020,8,5,Nessuno ,poco nuvoloso ,19 °C ,24 °C ,27 °C ,Mantova
2020,8,6,Nessuno ,poco nuvoloso ,17 °C ,24 °C ,30 °C ,Mantova
2020,8,7,Nessuno ,poco nuvoloso ,21 °C ,28 °C ,31 °C ,Mantova
2020,8,8,Nessuno ,sole e caldo ,21 °C ,30 °C ,34 °C ,Mantova
2020,8,9,Nessuno ,sole e caldo ,20 °C ,27 °C ,34 °C ,Mantova
2020,8,10,Nessuno ,sole e caldo ,21 °C ,28 °C ,34 °C ,Mantova
2020,8,11,Nessuno ,sole e caldo ,21 °C ,28 °C ,33 °C ,Mantova
2020,8,12,Nessuno ,poco nuvoloso ,20 °C ,27 °C ,33 °C ,Mantova
2020,8,13,Nessuno ,sole e caldo ,22 °C ,28 °C ,32 °C ,Mantova
2020,8,14,Nessuno ,poco nuvoloso ,21 °C ,26 °C ,30 °C ,Mantova
2020,8,15,Nessuno ,poco nuvoloso ,18 °C ,25 °C ,31 °C ,Mantova
2020,8,16,Nessuno ,poco nuvoloso ,19 °C ,26 °C ,32 °C ,Mantova
2020,8,17,Pioggia - Temporale  ,poco nuvoloso ,20 °C ,24 °C ,28 °C ,Mantova
2020,8,18,Pioggia - Temporale  ,poco nuvoloso ,18 °C ,23 °C ,29 °C ,Mantova
2020,8,19,Pioggia  ,poco nuvoloso ,18 °C ,24 °C ,31 °C ,Mantova
2020,8,20,Nessuno ,poco nuvoloso ,20 °C ,26 °C ,32 °C ,Mantova
2020,8,21,Nessuno ,poco nuvoloso ,21 °C ,27 °C ,33 °C ,Mantova
2020,8,22,Nessuno ,poco nuvoloso ,22 °C ,28 °C ,34 °C ,Mantova
2020,8,23,Pioggia - Temporale  ,poco nuvoloso ,20 °C ,25 °C ,32 °C ,Mantova
2020,8,24,Nessuno ,poco nuvoloso ,17 °C ,23 °C ,29 °C ,Mantova
2020,8,25,Pioggia  ,poco nuvoloso ,17 °C ,24 °C ,30 °C ,Mantova
2020,8,26,Nessuno ,poco nuvoloso ,18 °C ,24 °C ,30 °C ,Mantova
2020,8,27,Nessuno ,poco nuvoloso ,20 °C ,26 °C ,31 °C ,Mantova
2020,8,28,Pioggia - Temporale  ,poco nuvoloso ,20 °C ,25 °C ,30 °C ,Mantova
2020,8,29,Pioggia - Temporale  ,temporale e schiarite ,19 °C ,22 °C ,27 °C ,Mantova
2020,8,30,Pioggia - Temporale  ,poco nuvoloso ,19 °C ,22 °C ,28 °C ,Mantova
2020,8,31,Pioggia - Temporale  ,temporale e schiarite ,15 °C ,18 °C ,23 °C ,Mantova
2020,9,1,Pioggia  ,poco nuvoloso ,13 °C ,19 °C ,26 °C ,Mantova
2020,9,2,Pioggia - Temporale  ,poco nuvoloso ,15 °C ,19 °C ,23 °C ,Mantova
2020,9,3,Nessuno ,poco nuvoloso ,13 °C ,20 °C ,26 °C ,Mantova
2020,9,4,Nessuno ,sereno ,15 °C ,21 °C ,28 °C ,Mantova
2020,9,5,Nessuno ,sereno ,16 °C ,23 °C ,30 °C ,Mantova
2020,9,6,Pioggia  ,poco nuvoloso ,16 °C ,23 °C ,29 °C ,Mantova
2020,9,7,Pioggia - Temporale  ,poco nuvoloso ,18 °C ,21 °C ,25 °C ,Mantova
